Easy
17
48
46
45
47
45
46
45
47
48
46
46
46
47
45
45
47
47
45
48
47
47
47
45
medium
50
53
51
53
49
52
52
52
51
49
50
51
52
52
49
51
53
53
56
56
56
hard
56
55
53
55
55
54
55
56
53
54
54
54
54
53
56
56
56
evil
55
51
57
55
51
51
56
56
55
55
57
55
57
55
57
