IDA-manhattan, IDA-my
i = 1
0.002997875213623047,0.014986038208007812
0.003996372222900391,0.0379638671875
0.0039958953857421875,0.04595613479614258
0.00299835205078125,0.003006458282470703
0.0029859542846679688,0.0019979476928710938
0.002997875213623047,0.0030095577239990234
0.004996061325073242,0.010989904403686523
0.0049932003021240234,0.08292412757873535
0.0019979476928710938,0.01898193359375
0.0029985904693603516,0.0019979476928710938
i = 2
0.0059854984283447266,0.0399622917175293
0.005994081497192383,0.06793498992919922
0.003995656967163086,0.003996849060058594
0.00399017333984375,0.009990453720092773
0.004996299743652344,0.030971050262451172
0.0019981861114501953,0.014985799789428711
0.001999378204345703,0.01098942756652832
0.002996206283569336,0.0029993057250976562
0.006995439529418945,0.055947303771972656
0.006993532180786133,0.020979881286621094
i = 3
0.002997159957885742,0.0029959678649902344
0.0049932003021240234,0.028974533081054688
0.00399470329284668,0.05197477340698242
0.003996133804321289,0.009989500045776367
0.015984773635864258,0.012987613677978516
0.07892513275146484,0.8432033061981201
0.011988639831542969,0.11888813972473145
0.018983125686645508,0.10290265083312988
0.01298379898071289,0.244767427444458
0.005994319915771484,0.052948713302612305
i = 4
0.01598501205444336,0.3556649684906006
0.011987447738647461,1.1838819980621338
0.0049953460693359375,0.07093334197998047
0.00699305534362793,0.01598501205444336
0.3666532039642334,0.3027160167694092
0.010989665985107422,0.0929110050201416
0.0069921016693115234,0.01898336410522461
0.0049953460693359375,0.010989665985107422
0.02297830581665039,0.2257857322692871
0.013986825942993164,0.03196978569030762
i = 5
0.08292126655578613,0.8691790103912354
0.14586138725280762,0.01598501205444336
0.01198887825012207,0.11988639831542969
0.040961503982543945,0.0949094295501709
0.007994651794433594,0.032968997955322266
0.03496694564819336,0.1858234405517578
0.005994319915771484,0.010989665985107422
0.06793594360351562,1.4696128368377686
0.009990215301513672,0.16384387016296387
0.013988494873046875,0.028973817825317383
